word,sentiment_coeff
stofftreecomhomeindexphp,48.16059725630406
superstorm_sandy,41.820601841551785
delingpole,41.905885546609625
london_reuters,48.61531842936145
state_officials,36.23912062843207
left,57.77614727478017
bc,39.07457203366319
australia_suffers,56.28523423263742
coffee,35.819611426503464
could_adversely,32.88129419696473
current,47.188198627511774
forests,57.041063965275285
thank,48.01062747919916
hard,48.153729007848995
winter,46.02655693101962
pipelines,49.80256152419666
g20_countries,57.25786344915991
supply,71.42416230679916
rain_rain,33.56166704300347
fossil_fuel,37.58555722242643
usa_today,63.43625194912951
forum,33.664283790689275
great_lakes,39.30792432128341
inaugural_address,64.35415650855796
gucomp3ffn8tw_via,78.523284454819
divestment_movement,56.17125638569031
worse_gucomp3dc29tw,30.57321381879295
scam,52.71961850611767
review,47.0942475367752
make_cities,62.895463468118024
centuries_pumping,39.0547973763721
tribune,32.010121143456914
poor,79.72520748599084
sun,63.116393199375764
environmental_issue,68.42323091123893
progress,46.31086142416851
piece,56.457674631920966
wow,72.86589652439693
gore,68.46506265245034
global_warmingclimate,78.6214919647159
isnt_real,70.68302160344675
20,32.70725662141357
women_prostitution,54.947927484446865
policy_climatenamechange,29.798387663610374
discuss,58.10288191628925
days,51.56099486371005
rich_poor,33.40839988456635
oil_sands,35.86476025772146
dems_ask,46.70460579842745
university,77.75411929937647
30,77.85612028181788
green_huffington,67.27170353110441
flood,78.67862807216225
meeting,56.244502056363714
apartheid,36.45667778707998
impact_dc,36.985926608807475
technology,34.296978235730755
could_lead,39.43890768564401
open,41.88109846611173
photo,79.43512321671781
attention,35.392908356734935
hawk_kerry,34.48144690887229
biodiversity,41.24772346881031
threatens_wildlife,53.475169258476825
president_barack,39.78856628730861
listening,74.83938097144178
understanding,38.98472915562365
information,31.77332937864467
film,35.41170024013435
david,40.74571327844373
heard,77.2622181548233
sea_level,34.894496081796206
conversation,34.96769094192759
goodall_shiva,49.259578503568264
clifi_exploring,29.206180073194226
k,45.070174191961414
away,76.7937971289781
conservation,35.329597268141036
hey,73.61133214894043
remember,33.28751248177348
assist_pms,37.4850869339938
mitigate_effects,56.47446477072042
teach,31.827728877813215
15,46.355682258565366
smart,59.834240495742286
mexico_seeks,37.19599719070314
name_storms,44.34370439638907
hit,71.05610327894638
world_care2comcausesclimatecha,63.45774638290138
carbon_atmosphere,35.574629989036026
radio_waves,54.40864087276078
federal_funds,35.44604402938313
guardiancoukenvironment2,58.46988989803615
pressure_builds,33.86142368724858
heres,35.15400305127348
looking,56.85353989604815
fiction_guardiancoukbooks2013ma,34.0265782641556
try,38.60371152265968
skeptics,34.115253600310616
warm,50.44154546705174
nation,45.65515335896831
reason,34.82959955078281
worried,37.89879634468068
h,36.52917345806482
go_green,56.13302680547477
name,59.30015335845047
obama_embraces,55.428273570337254
efforts,62.20557504664444
deadly_threat,32.13739993469815
journal,29.240209411528564
national_geographic,57.518139386155774
bill_nye,30.58581969667378
threat_wildlife,59.05292387337653
bigger_dividends,47.22586567324814
interested,67.91582722241856
n,34.43984437760859
longer,84.74300793661648
source,81.3799470734555
center,55.246317840490505
study_82,50.52769696320255
floods,79.93149064023298
tiny_poisonous,59.48015137824251
richer_healthier,48.560723874021775
calling,67.84465664784051
sea_levels,57.102094457316376
b,62.67085857527916
obama_link,30.301403058689083
push_alec,41.18040690845321
gas,68.51465410749695
threatened,39.6497904059048
strategy,73.71339663856917
envoy_guardiancoukenvironment2,18.284741311293878
tv,35.74990870162523
eco,62.697534527644954
reverse,68.70287265008494
swaziland_seeds,79.48831944364568
insanity_drilling,39.517006415376144
dead_needs,49.98170864903875
preparing_transportation,41.120052766007845
didnt,38.99047893098516
intense_downpours,35.97010799603236
fire,73.37622513826459
stories,69.87690076382424
kill_keystone,42.05301482539409
plans,49.69677639633939
facing,30.525185779520314
speaking,39.53693963057825
week_utilities,36.57714253353155
leadership,33.59901077955396
warn_dire,43.80621994603749
failure,37.82292960304696
normal,79.62327474644226
wars,75.23241313158451
campaign,81.2581230749321
failing_fix,50.97215468126207
economists_onepage,55.18671152868706
planting_trees,32.55695061057713
science_guy,29.186407676906992
confront,52.19791296760741
locally_owned,34.232314904142946
killing_us,46.575626511104105
obamas_solution,45.70972052781928
major_flaw,41.76276176539719
significant_obama,61.4976177809123
shit,38.79218151296283
geoengineering,26.082996464213288
businesses_help,39.649925788379036
carbon_capture,59.31008528646079
affecting,77.70510903987642
potentially_threatening,33.929945902695756
brutal_logic,47.95072020662971
workshop,51.25491117139214
communities_thrive,33.320563732874724
envoy_rear,42.29157541362879
wants,53.65947154576186
snow,80.42236432219333
limits_market,55.85092020118961
word,32.08488787381764
hate,47.17412730632391
greenhouse_gas,35.03269071154895
mccarthy_vows,68.76362130757136
wonder,56.89876097303089
tar_sands,35.78258222780433
innovation,64.03976363484733
survey,46.71007859514186
ca,63.03361899699772
changed,82.58485506509967
amazon_rainforest,42.01958160649504
thank_giving,51.65821038702451
newscientistcomarticledn2,45.90068986852606
abt,52.76281328185468
ice,43.1233557727465
proof,46.66709001397143
13_democrats,51.46079316581542
radio,33.946031497909864
al_jazeera,41.18543400579765
asked,42.9310960571551
8,82.38760289252576
letsbegin,60.354661612093366
levels,37.17007228288469
worst,48.472385326513745
ideas,42.662431050890795
guess,72.49849900594462
republicans,43.07877518470901
energy_projects,32.23179818573223
wont_go,33.853129436204554
pennsylvania_counterpoint,29.0695415381284
pa_520262013,35.14580526771152
amp_renewable,33.7357050063377
super_bowl,26.157781117358994
soon,38.285556050832795
reduce,55.800067680795266
pm,35.91874100712913
temperature,40.73248771608144
survival_drier,29.905277583381746
rain,59.882223195211395
funding,51.927411794223616
threatens_forest,32.241676279284725
lowelevation_sites,26.274244576068206
hot_get,35.32146015174297
people_get,32.52081903031731
de,44.70289114852644
words,35.598283875312575
former,40.53008311392775
storm,85.43524061295734
press,68.37411995552253
let,59.66275712556012
